ID,duration,wav,wav_format,wav_opts
Noise_1,1.5,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_091112_noise_1.wav,wav,
Noise_2,1.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_091112_noise_2.wav,wav,
Noise_3,1.4,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_121325_noise_1.wav,wav,
Noise_4,2.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_140929_noise_1.wav,wav,
Noise_5,1.8,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_161808_noise_1.wav,wav,
Noise_6,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201025_213836_noise_1.wav,wav,
Noise_7,1.8,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_130708_noise_1.wav,wav,
Noise_8,1.4,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_142311_noise_1.wav,wav,
Noise_9,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_142311_noise_2.wav,wav,
Noise_10,1.4,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_144339_noise_1.wav,wav,
Noise_11,1.5,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_145941_noise_1.wav,wav,
Noise_12,2.7,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_145941_noise_2.wav,wav,
Noise_13,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_161349_noise_1.wav,wav,
Noise_14,1.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_161349_noise_2.wav,wav,
Noise_15,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_204323_noise_1.wav,wav,
Noise_16,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_204323_noise_2.wav,wav,
Noise_17,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201026_205056_noise_1.wav,wav,
Noise_18,1.7,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201027_121714_noise_1.wav,wav,
Noise_19,1.5,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201027_125731_noise_1.wav,wav,
Noise_20,1.4,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201028_092412_noise_1.wav,wav,
Noise_21,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201028_092412_noise_2.wav,wav,
Noise_22,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201028_131433_noise_1.wav,wav,
Noise_23,1.3,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201028_151125_noise_1.wav,wav,
Noise_24,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201029_051226_noise_1.wav,wav,
Noise_25,1.1,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201029_075414_noise_1.wav,wav,
Noise_26,1.5,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201029_151332_noise_1.wav,wav,
Noise_27,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201029_161709_noise_1.wav,wav,
Noise_28,1.2,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/LKPR_RUZYNE_Radar_120_520MHz_20201029_205125_noise_1.wav,wav,
