ID,duration,wav,wav_format,wav_opts
Noise_1,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_001.wav,wav,
Noise_2,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_002.wav,wav,
Noise_3,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_003.wav,wav,
Noise_4,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_004.wav,wav,
Noise_5,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_005.wav,wav,
Noise_6,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_006.wav,wav,
Noise_7,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_007.wav,wav,
Noise_8,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_008.wav,wav,
Noise_9,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_009.wav,wav,
Noise_10,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_011.wav,wav,
Noise_11,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_012.wav,wav,
Noise_12,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_013.wav,wav,
Noise_13,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_014.wav,wav,
Noise_14,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_015.wav,wav,
Noise_15,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_016.wav,wav,
Noise_16,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_017.wav,wav,
Noise_17,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_018.wav,wav,
Noise_18,3.0,C:/Users/AI Lab/Documents/GitHub/Augmentation/Extracted_Noise/Noise/chunk_020.wav,wav,
